,date,predicted_class,vader_score
193,2020-07-30,Social,0.2832857142857143
194,2020-08-04,Environmental,-0.05183698630136986
195,2020-08-04,Social,0.17423333333333332
196,2020-08-07,Environmental,0.4019
197,2020-08-07,Social,0.41307857142857146
198,2020-08-13,Social,0.0
199,2020-08-31,Environmental,0.3332
200,2020-09-01,Environmental,0.05537619047619048
201,2020-09-01,Social,0.20095714285714286
202,2020-09-02,Environmental,0.0
203,2020-09-02,Social,0.27526
204,2020-09-10,Environmental,0.0
205,2020-09-14,Environmental,0.47209090909090906
206,2020-09-14,Social,0.6867333333333333
207,2020-09-15,Environmental,0.5202600000000001
208,2020-09-15,Social,0.5267
209,2020-09-17,Environmental,0.21425
210,2020-09-17,Social,0.32395
211,2020-09-19,Environmental,0.38351999999999997
212,2020-09-21,Environmental,0.310106015037594
213,2020-09-21,Social,0.45697
214,2020-09-22,Environmental,0.23462380952380954
215,2020-09-22,Social,0.3612
216,2020-09-24,Environmental,0.36887272727272724
217,2020-09-24,Social,0.0
218,2020-09-25,Environmental,0.15674
219,2020-09-25,Social,0.14365
220,2020-09-28,Environmental,0.4000978260869565
221,2020-09-28,Social,0.37895
222,2020-09-30,Social,0.0
223,2020-10-05,Environmental,0.7172666666666667
224,2020-10-05,Governance,0.0
225,2020-10-05,Social,0.5778399999999999
226,2020-10-08,Environmental,0.003796551724137936
227,2020-10-08,Social,0.1531
228,2020-10-09,Environmental,0.2023
229,2020-10-09,Social,0.40943125
230,2020-10-13,Environmental,0.3675333333333333
231,2020-10-13,Social,0.2852
232,2020-10-26,Environmental,0.5669333333333334
233,2020-10-26,Social,0.4062666666666667
234,2020-10-29,Environmental,0.2918586206896552
235,2020-10-29,Social,0.0
236,2020-11-09,Environmental,0.0
237,2020-11-11,Social,0.41000000000000003
238,2020-11-12,Environmental,-0.125
239,2020-11-12,Social,0.1909
240,2020-11-18,Environmental,0.46572142857142856
241,2020-11-19,Environmental,0.3666263157894737
242,2020-11-19,Social,0.0
243,2020-11-22,Environmental,0.7269
244,2020-11-22,Social,0.7956
245,2020-11-24,Environmental,0.4596777777777778
246,2020-11-24,Social,0.5524666666666667
247,2020-11-25,Environmental,0.3332333333333333
248,2020-11-25,Social,0.49699999999999994
249,2020-11-26,Environmental,0.0
250,2020-12-01,Environmental,0.5106
251,2020-12-01,Social,0.43521666666666664
252,2020-12-07,Environmental,0.44877142857142854
253,2020-12-10,Environmental,0.0
254,2020-12-10,Social,0.3373
255,2020-12-14,Environmental,0.43832631578947373
256,2020-12-15,Environmental,0.47763125
257,2020-12-15,Social,0.76145
258,2020-12-18,Environmental,0.04524736842105264
259,2020-12-20,Environmental,0.0
260,2020-12-31,Environmental,-0.03423333333333333
261,2021-01-11,Environmental,0.0
262,2021-01-13,Environmental,0.08154
263,2021-01-14,Environmental,0.4019
